;KEGG;Ampolla_P1_V1;Ampolla_P1_V3_5;Ampolla_P1_V4;Ampolla_P1_V6;Ampolla_P2_V1;Ampolla_P2_V3_5;Ampolla_P2_V4;Ampolla_P2_V6;Ampolla_P3_V1;Ampolla_P3_V3_5;Ampolla_P3_V4;Ampolla_P3_V6;Ampolla_P4_V1;Ampolla_P4_V3_5;Ampolla_P4_V4;Ampolla_P4_V6;Ampolla_P5_V1;Ampolla_P5_V3_5;Ampolla_P5_V4;Ampolla_P5_V6;Ampolla_P6_V1;Ampolla_P6_V3_5;Ampolla_P6_V6;Ampolla_P7_V1;Ampolla_P7_V3_5;Ampolla_P7_V4;Ampolla_P7_V6;Ampolla_P8_V1;Ampolla_P8_V3_5;Ampolla_P8_V4;Ampolla_P8_V6
Arabinofuranose; C06115;5492362;8090349;7090374;2225370;3176760;3012623;3550940;2702101;3288652;4263645;7256073;5225354;5829291;532977.3;6660761;6684331;2545899;5027304;5284531;4534925;4557658;4008176;5807162;5264723;71093.96;13585270;7448907;3022305;232318.6;3324895;3061882
L-Arabinose;C02479;5467776;8514283;7250284;2015837.5;2839586;2753939.7;3507103;2613705.5;3144969.9;4008301.8;7189799;4870714;5810705;637345.7;6344114;6128821;2506640.2;4685222;4912042;5408531;4044784.2;3923087.9;5286947.1;4849598;193815.47;11607688;7206770;2977419.2;314960.89;3655843.1;2821096.6
L-Asparagine;C00152;591269;26929.54;1130324;553961;502508;707982;659859;477504;400473;388287;12218.46;298306;775123;20474.25;803258;738490;418758;1058111;466595;32515.83;988516;711794;840539;747958;31549.52;387579.4;720568;516763;62270.1;377920;335575
Beta-D-Glucopyranose;C00221;22822816;12605672;23352970;8151915;13996890;10793018;14748962;10322131;12163296;16405000;2840278;19516799;23303416;717370.8;25669400;23872252;9673695;18201130;21362977;1127633;16298817;13965747;20082121;17879368;387894;18722359;32660801;11182658;1219921;8629465;13064684
D-Glucose;C00221;804248866;771407843;933374381;301592810;340453551;379352118;713958434;366282721;505167120;3107607091;1067386129;590246859;82578771;551860872.8;697013395;372019318;429453830;505308167;2238874698;812213930;540912811;529026727;528609270;89205879;1309122147;823632182;319902164;81571056;240793735;332436545;44337329
myo-Inositol;C00137;1940187;3006441;21591574;944610.4;1414462;1217098;8796701;1065340;1932626;1518984;22367034;1314404;2873971;87132.26;2711475;2694077;1351791;2899136;5253962;5313410;2337070;2292126;966286;2820107;79020.42;1903077;2411441;951317.4;164344.3;2708512;769407
L-Glutamic acid;C00025;23451540;12175569;32531502;12278045;14065249;14639951;19252180;11092174;15201580;15866052;849189.4;11416453;17677021;69543.67;14118344;20083682;10193082;23775863;10291845;62098.32;21372682;17341161;15841142;19316508;381315;9299501;15881096;17448925;1095914;9363213;8460145
L-Lactic acid;C00186;150765672;243627992;206250973;145098826;122418989;102891596;115176205;91849834;118162259;153776657;927464724;111111272;185880447;3963830;148455579;149683645;120910937;177004510;115222915;300413633;141667586;127489504;170923526;187425773;6071079;180531281;159437360;135375640;7579987;85430879;52067510
L-Leucine;C00123;7505213;1430830.8;4218091;4845957;1796363;1897115.8;1984550.3;3121855;2335613;4605450;1627288.4;1861642;6338380;6108116;5437116;6625399;1260500.8;5491648;1388440.4;1874244.6;4403768;4285127;2593819;5935146;2301722.4;6593254;10483132;4559407;5247197;978675.5;4029747
Maltose;C00897;1304579;1051720;31613382;460759.8;469879;764620;8636944;477994;700415;945271;934934.5;728466;446872.4;70765.96;1511432;1619220;447443.2;1107440;6293199;1218342;829815;654587;847074;832783;42499.79;454090.6;1143053;570615;162880.8;3110410;457831
N-Alpha-acetyllysine;C12989;9838953;32464799;19823507;10455650;9764740;5933745;9001895;8953079;8229287;13327366;57991309;10594192;12432974;3771074;11659396;12214551;5641272;12680877;7981803;26102172;15246224;10479659;11810643;14472550;3029981;12888280;12490107;8097740;2906316;5164548;3811043
Oxybenzone;C14285;1729776;927052.6;2604501;1734460;2899989;3053507;2936123;1732248;2566639;2134457;48726.5;2612701;1856863;60000.81;2925562;2320800;2982240;2452073;3246942;29859.29;2537350;2757849;2533377;2835682;107881.5;3236029;1627227;2021362;51311.68;2654650;1611054
Phenol;C15584;1212272;16249665;1681645;1466250;1502668;1455366;1613115;1362813;1233508;1374086;35171471;1543562;1166265;4107362;1422839;1272336;1825190;2823915;17120589;2900498;1413638;1856223;1348446;1552984;648324.9;10606215;1315995;1198077;1159338;1225764;921308
L-Phenylalanine;C00079;8322691;4584793;16953252;6420753;6154299;6313824;6979297;5269939;6083780;8506941;547517;5986773;9379325;589041.3;9759414;12574069;4710031;11291827;4940128;348151.7;9437404;8170279;10528263;10745334;322850;11676339;11572739;6327738;836171;4242781;4372836
Putrescine;C00134;469979;2418328;515377;503731;545097;570446;545314;468979;480192;513912;207976.6;438019;377881;688424.9;618287;564012;561732;601809;490058;356880.9;599113;488975;568300;479160;485547;498628;486022;528641.6;499667.3;485566;411914
Pyroglutamic acid;C01879;587809;95865.04;1102352;276523.8;480732;521411;632112;385689.4;331909;384220.6;32281.7;307260.8;868955;50160.77;870325;697011;349289.7;867209;375571;97361.88;766163;656857;651100.8;612962;31634.47;464137.9;666727;486051;65567.67;374849.1;270557.5
Quercetin;C00389;592228.3;957133.3;1288383;704007.5;270928.5;1281778;1690958;559721.2;839133.7;1057607;321343.7;248587.1;1116683;3750826;469808.1;405144.5;519358.5;1819376;1311014;2915400;700470.2;702923.5;1946579.8;335857.2;498717.8;1690024.4;6002897;679978.4;354411;1723538;578705
Serine;C00716;35054721;311826.7;60814183;28599400;32310233;35702665;37665603;36004806;17448035;15545783;2068.726;14157314;61312294;6363087;38342764;32822390;15199078;62969580;23915835;17421.99;65274998;50080425;32503404;43010873;1887592;16345934;61800822;32570609;5314043;25326890;14456221
Amidosulfonic acid;NA;1572139;141985.5;675981;407693;274336;320935.3;400333;420874;235972;625364;58062.73;218715.5;894508;5122638;774101;793219;166679.7;930704;165785;91393.14;544740;430734;693301;736335;1237000;992832;1060871;798600;3462067;189568.5;521532
Uracil;C00106;935588;230258.4;1810055;776585;695653;987702;968527;839364;614580;585919.2;12324.28;471486;1210472;8342.277;1270057;1165174;673476;1676147;398598.6;9956.187;1573162;1070639;1564388;1064891;27102.97;258036.1;1252513;852842;36605.86;569330.8;537835
