C01	C02	C03	C04	C06	C07	P1	P2	P3	P4	P6	P7
C00025	5734786	8220300	5532305	3651958	5846104	6012396	6855390	7121627	8859266	6612096	470058.9	8836820
C06827	676849	242145	546576	380198	315808.3	352350	185236.5	406292	367553.3	198319	318580.1	172600
C00334	304896	354976	385384	236711	305488	695844	428622	255862.7	262570	262567	133723.7	350183
C00158	14133941	33970447	19898982	17669989	13870663	23628269	10898230	10039869	9190329	18854729	307515	10617856
C00221	779176185	736026390	801644880	923801524	933975317	760955004	870344632	961091272	831494857	789823680	11490269	794720366
C00037	7523950	10353094	5832600	5672187	5126367	7264805	4363306	5323395	4609306	7202158	367324.7	4490343
C02043	269701	309065	317506	371748	255024	239789	238872	138649	352897	213960	9394.619	201039
C00294	45235	22829.59	34600.55	111467	87844	45468.57	28804.01	323433	313346	378436	27678.31	241473
C00137	8684652	5937240.3	5436161	6492804	6356315	7690647	4841646	7654436	4604896	6198254	102614.71	5955558
C01177	280967	409608	594385	147353	293914	278236	342489	254050	306320	211136	9555.432	398850.3
C00407	14310533	12446199	15295537	10109442	9024360	14089648	14465848	9291680	12911397	10922686	846999	12812758
C00186	81832486	88205446	73904467	71456984	103923258	122991536	114916724	95346197	82850616	73316040	2592295	61054362
C00123	27884295	21029483	28112553	16445739	16551672	27939974	23267466	13047709	19150008	16914786	1531418	20956685
C00047	4921422	5315640	7853781	5652916	4650200	5383018	3290275	3810030	3409366	4322749	138772.5	2524100
C00897	2571126	2345901	1838922	2345008	2152724	1950972	2338605	2362914	2733569	2279070	44582.4	2283875
C01879	114200103	96617824	112549622	96225294	108173027	103577801	96232917	98176494	68658330	104988847	2096369	88089805
C05339	1390661	1333943	1300694	950476	1107726	1161500	938301	1185176	1462922	1288515	51563.82	1542865
C00148	13575018	9533994	13485190	16716338	17422899	12648695	27695043	18572564	14919850	17814353	1375441	22411947
C00716	33683441	24788940	28782914	22051012	28681803	38083179	30538420	22879933	19099454	26637031	1005400	21363992
C00089	400970	290217	203409	174603	255539	284112.2	241454.3	220539.1	327412.1	262459	8593.428	373010.5
C06424	2812684	3581757	4077469	3342962	6320012	3135055	1939411	3695150	3217130	2566709	153398.4	3328499
C01620	6356782	4550231	3817607	3317804	4435807	5649432	4056530	3943629	1212048	5882969	468805	3617614
C00082	57190257	34650499	51466876	47923480	56191241	38282588	65839638	55401015	54791581	53150507	628517	45429261
C00183	61790397	45080696	80187485	43345815	45948937	53615251	50820402	32464003	43077090	38821858	2313895	46458907
