499527	NORMAL
499529	NORMAL
499531	NORMAL
499533	NORMAL
499535	NORMAL
499537	NORMAL
499539	NORMAL
499541	NORMAL
499543	NORMAL
499545	NORMAL
499547	NORMAL
499549	NORMAL
499551	NORMAL
499553	NORMAL
499555	NORMAL
499557	NORMAL
499559	NORMAL
499561	NORMAL
499563	NORMAL
499565	NORMAL
499567	NORMAL
499569	NORMAL
499571	NORMAL
499573	NORMAL
499575	NORMAL
499577	NORMAL
499579	NORMAL
499581	NORMAL
499583	NORMAL
499585	NORMAL
499587	NORMAL
499589	NORMAL
499591	NORMAL
499593	NORMAL
499595	NORMAL
499597	NORMAL
499599	NORMAL
499601	NORMAL
499603	NORMAL
499605	NORMAL
499607	NORMAL
499609	NORMAL
499611	NORMAL
499613	NORMAL
499615	NORMAL
499617	NORMAL
499619	NORMAL
499621	NORMAL
499623	NORMAL
499625	NORMAL
499627	NORMAL
499629	NORMAL
499631	NORMAL
499633	NORMAL
499635	NORMAL
499637	NORMAL
499639	NORMAL
499641	NORMAL
499643	NORMAL
499645	NORMAL
499647	NORMAL
499649	NORMAL
499651	NORMAL
499653	NORMAL
499655	NORMAL
499657	TUMOR
499659	TUMOR
499661	TUMOR
499663	TUMOR
499665	TUMOR
499667	TUMOR
499669	TUMOR
499671	TUMOR
499673	TUMOR
499675	TUMOR
499677	TUMOR
499679	TUMOR
499681	TUMOR
499683	TUMOR
499685	TUMOR
499687	TUMOR
499689	TUMOR
499691	TUMOR
499693	TUMOR
499695	TUMOR
499697	TUMOR
499699	TUMOR
499701	TUMOR
499703	TUMOR
499705	TUMOR
499707	TUMOR
499709	TUMOR
499711	TUMOR
499713	TUMOR
499715	TUMOR
499717	TUMOR
499719	TUMOR
499721	TUMOR
499723	TUMOR
499725	TUMOR
499727	TUMOR
499729	TUMOR
499731	TUMOR
499733	TUMOR
499735	TUMOR
499737	TUMOR
499739	TUMOR
499741	TUMOR
499743	TUMOR
499745	TUMOR
499747	TUMOR
499749	TUMOR
499751	TUMOR
499753	TUMOR
499755	TUMOR
499757	TUMOR
499759	TUMOR
499761	TUMOR
499763	TUMOR
499765	TUMOR
499767	TUMOR
499769	TUMOR
499771	TUMOR
499773	TUMOR
499775	TUMOR
499777	TUMOR
499779	TUMOR
499781	TUMOR
499783	TUMOR
499785	TUMOR
499787	TUMOR
499789	TUMOR
