C02165+C14776	C02165+C14776
C15493	C15493
C14767+C14762	C14767+C14762
C00338	C00338
C00165	C00165
C00575	C00575
C05981	C05981
C00076	C00076
C01245	C01245
C01330	C01330
C00002	C00002
C00004	C00004
C13051	C13051
C06124	C06124
C00533	C00533
C00942	C00942
C16003	C16003
C16004	C16004
C16005	C16005
C00306	C00306
C00212	C00212
C00027	C00027
C00144	C00144
C03758	C03758
C01312	C01312
C00780	C00780
C01996	C01996
C00334	C00334
C00788	C00788
C00288	C00288
C16010+C16012+C16013	C16010+C16012+C16013
C15949	C15949
C16022+C16021	C16022+C16021
C00186	C00186
C00547	C00547
C16048	C16048
C15906	C15906
C16088+C16089	C16088+C16089
C18182	C18182
C02017	C02017
C16119	C16119
C20792	C20792
C01089	C01089
C20793	C20793
C00042	C00042
C00584	C00584
C00746	C00746
C00416	C00416
C00704	C00704
C00007	C00007
C14818	C14818
C00072	C00072
C00026	C00026
C00008	C00008
C00020	C00020
C00025	C00025
C00195	C00195
C16845	C16845
C04637	C04637
C00752	C00752
C02135	C02135
C00681	C00681
C00639	C00639
C00410	C00410
C00123	C00123
C00003	C00003
C00083	C00083
C00665	C00665
C03582	C03582
C07909	C07909
C07151	C07151
C07056	C07056
C14748	C14748
C16127	C16127
C16125	C16125
C13662	C13662
C00219	C00219
C00290	C00290
C02198	C02198
C00427	C00427
C05956	C05956
C20640	C20640
C05981+hsa:5335+hsa:5336	C05981
C04637+hsa:2934+hsa:85477	C04637
C01598	C01598
C13856	C13856
C11695	C11695
C00064	C00064
C01330+C00076	C01330+C00076
C12284+D08836+C19378+C11045	C12284+D08836+C19378+C11045
C00089+C00095+C00031+C00208	C00089+C00095+C00031+C00208
C01327	C01327
C00130	C00130
C02265+C00133+C00740	C02265+C00133+C00740
C00158	C00158
C00149	C00149
C00388	C00388
C00080	C00080
C14768+C14769	C14768+C14769
C06254	C06254
C06866	C06866
C05965+C05966+C04805+C04742+C02165	C05965+C05966+C04805+C04742+C02165
C09179	C09179
C12271	C12271
C00469	C00469
C09155	C09155
C00400	C00400
C20171	C20171
C09844	C09844
C00903	C00903
C19317	C19317
C07600	C07600
C00808+C00809	C00808+C00809
C20698	C20698
C00219+C12083	C00219+C12083
C05965	C05965
C00369	C00369
C00031	C00031
C00162	C00162
C16114	C16114
C00951	C00951
C02210	C02210
C02465	C02465
C01829	C01829
C00638	C00638
C13050	C13050
C02140	C02140
C02107	C02107
C00022	C00022
C00238	C00238
C00095	C00095
G00369	G00369
C21011+C21012+C21013+C21014	C21011+C21012+C21013+C21014
C01780	C01780
C00735	C00735
C00762	C00762
C16051	C16051
C13523	C13523
C16844	C16844
C00070	C00070
C00704+C00027+C16845+C16844	C00704+C00027+C16845+C16844
C00001	C00001
D00110	D00110
D07445	D07445
C00076+hsa:163688+hsa:51806+hsa:801+hsa:805+hsa:808+hsa:810	C00076
D00842+D02271+D08233+D08234	D00842+D02271+D08233+D08234
C00698	C00698
C06314	C06314
C11596	C11596
C20898	C20898
C04549	C04549
C01194	C01194
C01673	C01673
C04465+C19190	C04465+C19190
C18996	C18996
C18995	C18995
C00951+C00410+C07653+C01227+C00280+C00735+C00762	C00951+C00410+C07653+C01227+C00280+C00735+C00762
C00122	C00122
C00777+C15493	C00777+C15493
C00535	C00535
C03917	C03917
C00187+hsa:6469	C00187
G10505+hsa:960	G10505
C00925+hsa:51384+hsa:54361+hsa:7471+hsa:7472+hsa:7473+hsa:7474+hsa:7475+hsa:7476+hsa:7477+hsa:7478+hsa:7479+hsa:7480+hsa:7481+hsa:7482+hsa:7483+hsa:7484+hsa:80326+hsa:81029+hsa:89780	C00925
G13063+hsa:2247	G13063
C16038	C16038
